tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2010-W-C50-CHN-01A-2010,Quanzhou 50K,Hard,32,50,20100104,001,201587,1,,Bojana Jovanovski,R,175,SRB,18.0123203285,150,387,201681,,,Suchanun Viratprasert,R,,THA,27.0088980151,272,172,6-0 6-1,3,R32
2010-W-C50-CHN-01A-2010,Quanzhou 50K,Hard,32,50,20100104,002,201559,,,Irena Pavlovic,R,,FRA,21.2676249144,267,174,202683,,WC,Wan Ting Liu,R,,CHN,20.8815879535,,,7-6(2) 6-4,3,R32
2010-W-C50-CHN-01A-2010,Quanzhou 50K,Hard,32,50,20100104,003,202573,,,Wen Hsin Hsu,R,,TPE,21.5605749487,315,128,201608,,,Sheng Nan Sun,L,,CHN,22.9541409993,329,121,5-7 7-6(1) 7-6(4),3,R32
2010-W-C50-CHN-01A-2010,Quanzhou 50K,Hard,32,50,20100104,004,201680,7,,Anna Gerasimou,R,,GRE,22.2231348392,252,195,202504,,,Ying Ying Duan,U,,CHN,20.5886379192,402,88,6-4 2-6 6-4,3,R32
2010-W-C50-CHN-01A-2010,Quanzhou 50K,Hard,32,50,20100104,005,201648,,,Naomi Broady,U,,GBR,19.8494182067,298,146,202461,4,,Julia Cohen,R,,USA,20.7857631759,208,255,3-6 6-2 6-4,3,R32
2010-W-C50-CHN-01A-2010,Quanzhou 50K,Hard,32,50,20100104,006,202434,,Q,Aleksandra Krunic,R,,SRB,16.8076659822,571,45,202359,,,Chin Wei Chan,R,,TPE,24.9883641342,410,85,6-3 7-6(4),3,R32
2010-W-C50-CHN-01A-2010,Quanzhou 50K,Hard,32,50,20100104,007,202391,,,Akiko Yonemura,U,,JPN,25.9438740589,367,99,201706,,,Eirini Georgatou,U,,GRE,19.923340178,269,174,6-4 6-2,3,R32
2010-W-C50-CHN-01A-2010,Quanzhou 50K,Hard,32,50,20100104,008,201582,5,,Jing Jing Lu,R,,CHN,20.6680355921,225,230,201581,,WC,Chun Mei Ji,R,,CHN,23.8877481177,441,75,6-3 1-6 6-3,3,R32
2010-W-C50-CHN-01A-2010,Quanzhou 50K,Hard,32,50,20100104,009,201609,8,,Yi Miao Zhou,R,,CHN,18.9075975359,264,180,202919,,WC,Chang Liu,U,,CHN,19.4277891855,954,10,6-0 6-0,3,R32
2010-W-C50-CHN-01A-2010,Quanzhou 50K,Hard,32,50,20100104,010,202920,,LL,Yi Zhong,R,,CHN,17.5359342916,954,10,203388,,,Poojashree Venkatesha,R,,IND,19.4414784394,339,117,6-1 6-2,3,R32
2010-W-C50-CHN-01A-2010,Quanzhou 50K,Hard,32,50,20100104,011,201703,,WC,Yi Fan Xu,L,,CHN,21.4072553046,404,87,201672,,Q,Nigina Abduraimova,R,,UZB,15.4962354552,603,41,0-6 7-6(4) 6-1,3,R32
2010-W-C50-CHN-01A-2010,Quanzhou 50K,Hard,32,50,20100104,012,201661,,,Tina Schiechtl,R,,AUT,25.9712525667,317,128,201633,3,,Tomoko Yonemura,U,,JPN,27.5126625599,193,288,6-3 6-2,3,R32
2010-W-C50-CHN-01A-2010,Quanzhou 50K,Hard,32,50,20100104,013,201377,6,,Yuliya Beygelzimer,R,174,UKR,26.2094455852,249,203,203288,,Q,Jia Jing Lu,U,,CHN,20.128678987,525,52,6-1 6-4,3,R32
2010-W-C50-CHN-01A-2010,Quanzhou 50K,Hard,32,50,20100104,014,202892,,,Ayaka Maekawa,U,,JPN,26.3682409309,355,106,202927,,Q,Kun Hee Kim,U,,KOR,20.2272416153,454,72,6-2 6-1,3,R32
2010-W-C50-CHN-01A-2010,Quanzhou 50K,Hard,32,50,20100104,015,203381,,,Ganna Piven,R,,UKR,17.9739904175,406,87,201682,,,Nudnida Luangnam,R,,THA,22.8528405202,400,89,6-4 6-1,3,R32
